model,task,result,n_samples_actual,free_gpu_memory_fraction,max_batch_size,max_tokens,temperature,return_context_logits,seed,num_samples,few_shots,scores_filter,print_outputs,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W8A8_SQ_LOGITS,humaneval,53.05,164,0.4,8,512,0.0,False,0,,0,,0,15659.9,546.52,25774.08,5.23,19.81
W8A8_SQ_LOGITS,winogrande,80.51,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,15659.9,546.52,25784.32,0.67,2.48
W8A8_SQ_LOGITS,gpqa_main_zeroshot,35.71,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,15659.9,546.52,25784.32,0.67,2.48
W8A8_SQ_LOGITS,mbpp,67.8,500,0.4,8,512,0.0,False,0,,3,,0,15659.9,546.52,25774.08,5.23,19.81
W8A8_SQ_LOGITS,gsm8k,87.19,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,15659.9,546.52,25774.08,5.23,19.81
W8A8_SQ_LOGITS,wikitext,7.1,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,15659.9,546.52,25784.32,0.67,2.48
W4A16_LOGITS,humaneval,44.51,164,0.4,8,512,0.0,False,0,,0,,0,9354.5,2286.01,27627.52,5.23,19.81
W4A16_LOGITS,winogrande,78.14,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,9354.5,2286.01,27637.76,0.67,2.48
W4A16_LOGITS,gpqa_main_zeroshot,34.15,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,9354.5,2286.01,27637.76,0.67,2.48
W4A16_LOGITS,mbpp,56.4,500,0.4,8,512,0.0,False,0,,3,,0,9354.5,2286.01,27627.52,5.23,19.81
W16A16_LOGITS,hellaswag,83.87,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,28268.3,2214.01,3809.28,0.67,2.48
W4A16_AWQ_LOGITS,humaneval,54.88,164,0.4,8,512,0.0,False,0,,0,,0,9549.5,606.83,28190.72,2.91,12.73
W4A16_LOGITS,wikitext,9.58,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,9354.5,2286.01,11356.16,0.67,2.48
W4A16_LOGITS,gsm8k,75.97,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,9354.5,2286.01,27627.52,5.23,19.81
W4A16_AWQ_LOGITS,gpqa_main_zeroshot,33.26,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,9549.5,606.83,11919.36,0.38,1.59
W4A16_AWQ_LOGITS,winogrande,79.56,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,9549.5,606.83,28200.96,0.38,1.59
W4A16_AWQ_LOGITS,mbpp,62.2,500,0.4,8,512,0.0,False,0,,3,,0,9549.5,606.83,28190.72,2.91,12.73
W4A16_AWQ_LOGITS,gsm8k,85.9,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,9549.5,606.83,28190.72,2.91,12.73
W4A16_AWQ_LOGITS,wikitext,8.07,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,9549.5,606.83,28200.96,0.38,1.59
W16A16_INT8KV_LOGITS,humaneval,18.29,164,0.4,8,512,0.0,False,0,,0,,0,28262.8,918.01,20572.16,5.23,19.81
W8A8_SQ_LOGITS,hellaswag,83.62,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,15659.9,546.52,25784.32,0.67,2.48
W8A16_LOGITS,hellaswag,83.74,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,15654.5,606.01,9472.0,0.67,2.48
W16A16_INT8KV_LOGITS,winogrande,80.11,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,28262.8,918.01,20582.4,0.67,2.48
W16A16_INT8KV_LOGITS,gpqa_main_zeroshot,37.05,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,28262.8,918.01,4300.8,0.67,2.48
W16A16_INT8KV_LOGITS,mbpp,14.2,500,0.4,8,512,0.0,False,0,,3,,0,28262.8,918.01,20572.16,5.23,19.81
W16A16_INT8KV_LOGITS,gsm8k,72.4,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,28262.8,918.01,20572.16,5.23,19.81
W8A8_SQ_LOGITS,mmlu,78.96,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,15659.9,546.52,25784.32,0.67,2.48
W4A16_LOGITS,hellaswag,81.72,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,9354.5,2286.01,27637.76,0.67,2.48
W16A16_INT8KV_LOGITS,wikitext,6.87,1,0.4,1,1,0.0,True,1337,,0,"word_perplexity,none",0,28262.8,918.01,20582.4,0.67,2.48
W8A16_INT8KV_LOGITS,winogrande,80.43,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,15655.3,2286.01,25108.48,0.67,2.48
W8A16_INT8KV_LOGITS,humaneval,21.95,164,0.4,8,512,0.0,False,0,,0,,0,15655.3,2286.01,25108.48,5.23,19.81
W8A16_INT8KV_LOGITS,gpqa_main_zeroshot,37.5,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,15655.3,2286.01,25108.48,0.67,2.48
W8A16_INT8KV_LOGITS,mbpp,14.4,500,0.4,8,512,0.0,False,0,,3,,0,15655.3,2286.01,25108.48,5.23,19.81
W8A16_INT8KV_LOGITS,gsm8k,73.01,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,15655.3,2286.01,25108.48,5.23,19.81
W8A16_INT8KV_LOGITS,wikitext,6.88,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,15655.3,2286.01,25108.48,0.67,2.48
W4A16_AWQ_LOGITS,hellaswag,83.09,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,9549.5,606.83,28200.96,0.38,1.59
W8A8_SQ_INT8KV_LOGITS,humaneval,54.27,164,0.4,8,512,0.0,False,0,,0,,0,15660.7,546.52,25774.08,5.23,19.81
W8A8_SQ_INT8KV_LOGITS,winogrande,80.51,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,15660.7,546.52,25774.08,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,gpqa_main_zeroshot,35.71,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,15660.7,546.52,25774.08,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,mbpp,66.4,500,0.4,8,512,0.0,False,0,,3,,0,15660.7,546.52,25774.08,5.23,19.81
W8A8_SQ_INT8KV_LOGITS,gsm8k,87.19,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,15660.7,546.52,25774.08,5.23,19.81
W8A16_LOGITS,mmlu,79.6,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,15654.5,606.01,25753.6,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,wikitext,7.1,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,15660.7,546.52,25774.08,0.67,2.48
W4A16_INT8KV_LOGITS,humaneval,13.41,164,0.4,8,512,0.0,False,0,,0,,0,9355.2,2286.01,27627.52,5.23,19.81
W4A16_INT8KV_LOGITS,winogrande,78.14,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,9355.2,2286.01,27637.76,0.67,2.48
W4A16_INT8KV_LOGITS,gpqa_main_zeroshot,34.15,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,9355.2,2286.01,27637.76,0.67,2.48
W4A16_INT8KV_LOGITS,mbpp,15.0,500,0.4,8,512,0.0,False,0,,3,,0,9355.2,2286.01,27627.52,5.23,19.81
W4A16_LOGITS,mmlu,75.05,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,9354.5,2286.01,27637.76,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,humaneval,54.88,164,0.4,8,512,0.0,False,0,,0,,0,9549.5,606.83,28190.72,2.91,12.73
W4A16_INT8KV_LOGITS,wikitext,9.58,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,9355.2,2286.01,27637.76,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,winogrande,80.03,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,9549.5,606.83,28200.96,0.38,1.59
W4A16_INT8KV_LOGITS,gsm8k,39.42,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,9355.2,2286.01,27627.52,5.23,19.81
W4A16_AWQ_INT8KV_LOGITS,gpqa_main_zeroshot,33.26,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,9549.5,606.83,28200.96,0.38,1.59
W8A16_INT8KV_LOGITS,hellaswag,83.76,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,15655.3,2286.01,25108.48,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,mbpp,60.8,500,0.4,8,512,0.0,False,0,,3,,0,9549.5,606.83,28190.72,2.91,12.73
W4A16_AWQ_INT8KV_LOGITS,wikitext,8.08,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,9549.5,606.83,28200.96,0.38,1.59
W4A16_AWQ_INT8KV_LOGITS,gsm8k,84.53,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,9549.5,606.83,28190.72,2.91,12.73
W16A16_LOGITS,mmlu,79.63,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,28268.3,2214.01,3809.28,0.67,2.48
W16A16_INT8KV_LOGITS,hellaswag,83.81,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,28262.8,918.01,4300.8,0.67,2.48
W4A16_AWQ_LOGITS,mmlu,77.48,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,9549.5,606.83,28200.96,0.38,1.59
W8A8_SQ_INT8KV_LOGITS,hellaswag,83.62,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,15660.7,546.52,25774.08,0.67,2.48
W8A16_INT8KV_LOGITS,mmlu,79.72,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,15655.3,2286.01,25108.48,0.67,2.48
W4A16_INT8KV_LOGITS,hellaswag,81.72,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,9355.2,2286.01,27637.76,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,hellaswag,83.22,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,9549.5,606.83,28200.96,0.38,1.59
W16A16_INT8KV_LOGITS,mmlu,79.63,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,28262.8,918.01,20582.4,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,mmlu,78.96,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,15660.7,546.52,25774.08,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,mmlu,77.42,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,9549.5,606.83,28200.96,0.38,1.59
W4A16_INT8KV_LOGITS,mmlu,75.05,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,9355.2,2286.01,27637.76,0.67,2.48
