model,task,result,n_samples_actual,free_gpu_memory_fraction,max_batch_size,max_tokens,temperature,return_context_logits,seed,num_samples,few_shots,scores_filter,print_outputs,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W4A16_LOGITS,gsm8k,49.13,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,5266.6,2352.01,29235.2,5.23,19.81
W4A16_LOGITS,wikitext,13.81,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,5266.6,2352.01,29245.44,0.67,2.48
W4A16_AWQ_LOGITS,humaneval,52.44,164,0.4,8,512,0.0,False,0,,0,,0,5362.5,2352.01,29194.24,2.91,12.73
W4A16_AWQ_LOGITS,winogrande,73.88,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,5362.5,2352.01,29204.48,0.38,1.59
W4A16_AWQ_LOGITS,gpqa_main_zeroshot,31.03,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,5362.5,2352.01,29204.48,0.38,1.59
W8A8_SQ_LOGITS,hellaswag,79.49,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,8381.8,2310.52,27996.16,0.67,2.48
W4A16_AWQ_LOGITS,mbpp,58.6,500,0.4,8,512,0.0,False,0,,3,,0,5362.5,2352.01,29194.24,2.91,12.73
W8A16_LOGITS,hellaswag,79.85,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,8378.2,2352.01,11714.56,0.67,2.48
W4A16_AWQ_LOGITS,gsm8k,74.98,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,5362.5,2352.01,29194.24,2.91,12.73
W16A16_INT8KV_LOGITS,humaneval,7.32,164,0.4,8,512,0.0,False,0,,0,,0,14608.0,2070.01,25610.24,5.23,19.81
W16A16_INT8KV_LOGITS,winogrande,76.64,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,14608.0,2070.01,25620.48,0.67,2.48
W4A16_AWQ_LOGITS,wikitext,10.86,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,5362.5,2352.01,29204.48,0.38,1.59
W16A16_INT8KV_LOGITS,gpqa_main_zeroshot,31.7,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,14608.0,2070.01,25620.48,0.67,2.48
W16A16_INT8KV_LOGITS,wikitext,9.5,1,0.4,1,1,0.0,True,1337,,0,"word_perplexity,none",0,14608.0,2070.01,25620.48,0.67,2.48
W16A16_INT8KV_LOGITS,mbpp,7.0,500,0.4,8,512,0.0,False,0,,3,,0,14608.0,2070.01,9328.64,5.23,19.81
W8A16_INT8KV_LOGITS,humaneval,6.1,164,0.4,8,512,0.0,False,0,,0,,0,8378.6,2352.01,27985.92,5.23,19.81
W8A8_SQ_LOGITS,mmlu,73.9,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,8381.8,2310.52,27996.16,0.67,2.48
W16A16_INT8KV_LOGITS,gsm8k,27.67,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,14608.0,2070.01,25610.24,5.23,19.81
W8A16_INT8KV_LOGITS,winogrande,76.24,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,8378.6,2352.01,27996.16,0.67,2.48
W8A16_INT8KV_LOGITS,gpqa_main_zeroshot,31.03,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,8378.6,2352.01,27996.16,0.67,2.48
W8A16_INT8KV_LOGITS,mbpp,8.0,500,0.4,8,512,0.0,False,0,,3,,0,8378.6,2352.01,11704.32,5.23,19.81
W8A16_INT8KV_LOGITS,wikitext,9.51,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,8378.6,2352.01,27996.16,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,humaneval,0.0,164,0.4,8,512,0.0,False,0,,0,,0,8382.1,708.52,12318.72,5.23,19.81
W8A16_INT8KV_LOGITS,gsm8k,26.61,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,8378.6,2352.01,27985.92,5.23,19.81
W8A8_SQ_INT8KV_LOGITS,gpqa_main_zeroshot,31.25,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,8382.1,708.52,28610.56,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,winogrande,74.98,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,8382.1,708.52,12328.96,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,mbpp,0.0,500,0.4,8,512,0.0,False,0,,3,,0,8382.1,708.52,28600.32,5.23,19.81
W4A16_LOGITS,hellaswag,76.52,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,5266.6,2352.01,29245.44,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,wikitext,9.71,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,8382.1,708.52,28610.56,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,gsm8k,28.73,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,8382.1,708.52,28600.32,5.23,19.81
W4A16_INT8KV_LOGITS,humaneval,1.83,164,0.4,8,512,0.0,False,0,,0,,0,5266.9,750.01,29839.36,5.23,19.81
W4A16_INT8KV_LOGITS,winogrande,67.96,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,5266.9,750.01,29849.6,0.67,2.48
W4A16_INT8KV_LOGITS,mbpp,1.4,500,0.4,8,512,0.0,False,0,,3,,0,5266.9,750.01,29839.36,5.23,19.81
W4A16_INT8KV_LOGITS,gpqa_main_zeroshot,31.03,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,5266.9,750.01,29849.6,0.67,2.48
W8A16_LOGITS,mmlu,74.22,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,8378.2,2352.01,27996.16,0.67,2.48
W16A16_LOGITS,mmlu,74.26,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,14607.6,954.01,9748.48,0.67,2.48
W4A16_INT8KV_LOGITS,gsm8k,5.69,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,5266.9,750.01,29839.36,5.23,19.81
W4A16_INT8KV_LOGITS,wikitext,13.8,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,5266.9,750.01,29849.6,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,humaneval,51.83,164,0.4,8,512,0.0,False,0,,0,,0,5362.4,750.58,13527.04,2.91,12.73
W4A16_AWQ_LOGITS,hellaswag,78.44,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,5362.5,2352.01,29204.48,0.38,1.59
W4A16_AWQ_INT8KV_LOGITS,winogrande,74.27,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,5362.4,750.58,29818.88,0.38,1.59
W4A16_AWQ_INT8KV_LOGITS,gpqa_main_zeroshot,32.37,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,5362.4,750.58,13527.04,0.38,1.59
W4A16_AWQ_INT8KV_LOGITS,mbpp,56.4,500,0.4,8,512,0.0,False,0,,3,,0,5362.4,750.58,29808.64,2.91,12.73
W4A16_AWQ_INT8KV_LOGITS,gsm8k,71.27,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,5362.4,750.58,29808.64,2.91,12.73
W4A16_AWQ_INT8KV_LOGITS,wikitext,11.73,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,5362.4,750.58,29808.64,0.38,1.59
W8A8_SQ_LOGITS,mmlu_pro,48.02,12032,0.4,8,1,0.0,False,0,,5,,0,8381.8,2310.52,27996.16,5.23,19.81
W4A16_LOGITS,mmlu,69.19,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,5266.6,2352.01,29245.44,0.67,2.48
W16A16_INT8KV_LOGITS,hellaswag,79.81,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,14608.0,2070.01,25620.48,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,hellaswag,79.49,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,8382.1,708.52,12328.96,0.67,2.48
W8A16_INT8KV_LOGITS,hellaswag,79.9,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,8378.6,2352.01,27996.16,0.67,2.48
W4A16_INT8KV_LOGITS,hellaswag,76.52,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,5266.9,750.01,29849.6,0.67,2.48
W8A8_SQ_INT8KV_LOGITS,mmlu,73.9,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,8382.1,708.52,28610.56,0.67,2.48
W16A16_INT8KV_LOGITS,mmlu,74.26,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,14608.0,2070.01,25620.48,0.67,2.48
W4A16_AWQ_LOGITS,mmlu,71.44,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,5362.5,2352.01,29204.48,0.38,1.59
W8A16_INT8KV_LOGITS,mmlu,74.18,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,8378.6,2352.01,27996.16,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,hellaswag,78.05,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,5362.4,750.58,29818.88,0.38,1.59
W4A16_INT8KV_LOGITS,mmlu,69.23,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,5266.9,750.01,29849.6,0.67,2.48
W4A16_AWQ_INT8KV_LOGITS,mmlu,71.18,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,5362.4,750.58,13527.04,0.38,1.59
